unique_id,ds,LGBMRegressor,LGBMRegressor-lo-90,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-90,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-mint_shrink-lo-90,LGBMRegressor/MinTrace_method-mint_shrink-lo-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-90,LGBMRegressor/MinTrace_method-ols,LGBMRegressor/MinTrace_method-ols-lo-90,LGBMRegressor/MinTrace_method-ols-lo-80,LGBMRegressor/MinTrace_method-ols-hi-80,LGBMRegressor/MinTrace_method-ols-hi-90
total,2025-05-27 05:00:00,6.364109783837963,0.7705763411361877,0.959190161942177,11.76902940573375,11.957643226539739,0.0,0.0,0.0,0.0,0.0,8.72490767601454,3.74345113493188,5.081295582574989,12.38559162251412,13.18833319322247
total,2025-05-27 06:00:00,5.273347739527416,2.3610371044774054,2.3755822802160775,8.171113198838755,8.185658374577427,0.0,0.0,0.0,0.0,0.0,7.483617354974397,3.8011890534244412,4.407109085414445,9.692435650873596,11.237861609958781
total,2025-05-27 07:00:00,8.384389049282568,0.0,0.0,26.60827796215374,28.572015753370373,0.0,0.0,0.0,6.818964299734749,11.028338445273862,10.737680751286746,0.0,0.0,28.366443776267516,32.57581792180663
total,2025-05-27 08:00:00,40.79566596606414,10.130018069417504,14.125667580060938,67.46566435206735,71.46131386271078,22.779542508577737,0.0,2.1043523014492553,35.79033401014311,42.77335549456125,42.09317189198218,18.237141623704524,21.417981684853704,55.103963393547566,62.0869848779657
total,2025-05-27 09:00:00,81.17663133594208,55.434940861649785,59.35880175953119,102.99446091235296,106.91832181023436,64.85048793154752,6.624728367358617,15.169779133217615,104.2287913336312,119.60843442105899,78.28448799699203,20.058728432803136,28.603779198662124,117.6627913990757,133.0424344865035
total,2025-05-27 10:00:00,81.47440499561385,55.66232638063218,60.40190634441198,102.54690364681574,107.28648361059552,63.83594710053213,18.672820075520846,28.89983567378787,91.13381341822314,105.01788062712609,82.47194647477254,37.30881944976123,47.535835048028254,109.76981279246353,123.65388000136649
total,2025-05-27 11:00:00,110.00044917502458,18.447074651377946,28.00115289721812,191.99974545283106,201.55382369867124,94.34418700823575,25.77518061953308,38.04477352080082,160.15709454935063,186.03739728577767,114.15329276202772,45.5842863733251,57.85387927459284,179.9662003031426,205.84650303956968
total,2025-05-27 12:00:00,140.55439160045387,41.14714083180688,47.17682632538469,233.93195687552304,239.96164236910084,128.8957705745444,49.703384022778955,65.2353608901207,201.84773206053168,215.71751976778046,154.55458927621189,75.36220272444648,90.89417959178823,227.50655076219923,241.37633846944794
total,2025-05-27 13:00:00,145.21019392631933,72.66101118958917,78.46163718924305,211.95875066339562,217.7593766630495,131.8915490976071,63.00650920433037,81.18318569079409,174.25796651193826,184.46095251723258,156.65955085724335,87.77451096396655,105.95118745043025,199.02596827157438,209.22895427686876
total,2025-05-27 14:00:00,142.06112387212386,64.89420106392689,67.15541049298763,216.96683725126007,219.22804668032083,123.83222879433009,72.43097970070959,79.91101935108081,164.6843021061642,171.17750050002545,144.53671893048798,93.13546983686741,100.61550948723864,185.38879224232207,191.88199063618328
total,2025-05-27 15:00:00,143.31049613004467,69.81971129010016,86.52768384710731,200.09330841298203,216.80128096998916,128.54918121266044,69.75396752293742,83.88821541408868,171.27591379899437,174.69134408123514,148.5124410249701,89.71722733524706,103.85147522639829,191.23917361130398,194.65460389354476
total,2025-05-27 16:00:00,142.95577296611603,49.219046195490904,65.96809900622648,219.94344692600558,236.69249973674115,133.16093105199357,53.80989635767671,70.52616915895679,188.9544886278216,213.66737076085806,152.28579059664727,72.93475590233044,89.65102870361052,208.07934817247533,232.79223030551174
total,2025-05-27 17:00:00,129.55449270341646,80.49165813284203,85.63351369463501,173.47547171219787,178.61732727399087,113.79945979837106,64.03254182788122,72.51272979089539,149.02962137150624,159.12343633756976,134.87414962796342,85.10723165747358,93.58741962048772,170.10431120109857,180.1981261671621
total,2025-05-27 18:00:00,120.3161381999411,95.80646604350336,98.57241006853141,142.0598663313508,144.82581035637884,104.78074231559009,49.0777414633759,58.54137079508068,148.81934636114764,162.50567268864756,128.4764816711573,72.77348081894309,82.23711015064788,172.51508571671482,186.20141204421475
total,2025-05-27 19:00:00,119.40083381704866,17.920622482802038,41.34990388355784,197.4517637505395,220.8810451512953,104.46723027912505,43.236148090092904,50.687811486225115,158.6029598642152,178.84997322587472,126.45388564475974,65.22280345572757,72.6744668518598,180.58961522984984,200.83662859150942
total,2025-05-27 20:00:00,89.26582459014492,22.01344641991754,26.07256272984369,152.45908645044614,156.5182027603723,74.22450438623484,16.36277320302221,28.717720673164514,129.22955072333895,143.57741162311225,92.5540674362622,34.69233625304957,47.04728372319187,147.5591137733663,161.9069746731396
total,2025-05-27 21:00:00,68.3278949941883,0.0,0.0,140.27690892381344,153.11378368423257,53.87144308193384,2.7156000655125188,17.23149472957757,96.95228243473031,114.56957208025177,69.50420259127293,18.348359574851642,32.86425423891668,112.58504194406942,130.2023315895909
total,2025-05-27 22:00:00,47.13105137517353,21.663042728358214,23.792732644320775,70.46937010602628,72.59906002198885,31.93234999643447,15.278169800325422,18.416665969866294,46.90091915698677,50.862834465803935,48.63605203210719,31.981871835998135,35.12036800553901,63.604621192659486,67.56653650147665
total,2025-05-27 23:00:00,37.91327405003927,0.0,2.0057115025646013,73.82083659751395,76.80306783356716,23.229519079856935,0.0,0.0,51.72864547754322,58.83507831035627,39.019823869700275,0.0,4.12152460767132,67.51895026738657,74.6253831001996
total,2025-05-28 00:00:00,11.134998308556426,1.5140018677497193,2.145316371302511,20.124680245810342,20.755994749363133,0.0,0.0,0.0,0.0,0.0,14.64051079033795,5.015704975779612,7.0557383977271995,23.791450811177867,25.518685488089535
total,2025-05-28 01:00:00,11.955478911960578,5.164421886932322,5.369739250554024,18.541218573367132,18.74653593698883,0.0,0.0,0.0,0.0,0.0,15.805562712085468,8.276947225588833,10.141497017623655,20.068126182830113,22.02855155056918
total,2025-05-28 02:00:00,6.947761028042657,2.5675973903269953,2.6052081330144077,11.290313923070906,11.327924665758317,0.0,0.0,0.0,0.0,0.0,10.507892171204672,3.0467505046005767,4.027080328385372,16.3663267784365,17.647488250122485
total,2025-05-28 03:00:00,6.641212785425018,2.4332402377792848,2.643042070536626,10.63938350031341,10.849185333070752,0.0,0.0,0.0,0.0,0.0,10.353792974774532,3.6208805767071808,4.80198022506625,15.140896324373006,16.020823492645192
total,2025-05-28 04:00:00,9.766581821537988,0.0,1.0118195219710966,18.52134412110488,20.914868072104408,0.0,0.0,0.0,0.0,1.2939816140998142,13.442727844466198,0.8259949291244945,4.201064728309347,24.486618073958823,27.626848138088523
total,2025-05-28 05:00:00,8.027172687556373,1.2103151658505997,2.1232743671405827,13.931071007972164,14.844030209262147,0.0,0.0,0.0,0.0,0.0,11.803377683548078,1.2249192693130764,5.132521552281302,20.22293976361802,22.642440465674465
total,2025-05-28 06:00:00,6.641212785425018,2.9296592387579925,3.0290340520157075,10.253391518834327,10.352766332092044,0.0,0.0,0.0,0.0,0.0,10.221035036084336,3.3529800317844507,5.551578223941063,14.925113998282956,16.365977833803548
total,2025-05-28 07:00:00,10.738560141136606,1.5083709867250321,2.483824215508993,18.99329606676422,19.96874929554818,0.0,0.0,0.0,0.0,0.0,14.342612208924317,2.489367383105845,5.719085722210377,23.524862355473413,25.4482787980105
total,2025-05-28 08:00:00,46.9070346057986,0.0,0.0,129.40303937952973,153.72669017906225,28.53510822647945,0.0,0.0,75.88379683311146,88.61885266347696,50.44746849911848,0.0,0.8136115464351236,97.79615710575048,110.53121293611599
total,2025-05-28 09:00:00,84.9695045677866,3.8357568243312414,17.528862209406952,152.41014692616625,166.10325231124196,68.92712670566628,10.358752452807853,22.180232706144757,108.54371857288066,123.94389315458851,90.14044889366953,31.572074640811085,43.39355489414798,129.75704076088388,145.1572153425917
total,2025-05-28 10:00:00,106.25869837893475,59.627302195497094,60.05214621378117,152.46525054408835,152.8900945623724,84.21088454731839,48.30569272516917,55.929770606551564,114.43793399237668,120.95571608714368,108.22511049828206,72.31991867613286,79.94399655751525,138.45215994334035,144.96994203810735
total,2025-05-28 11:00:00,144.7085829218761,106.84267191969192,108.7847303552072,180.63243548854496,182.57449392406025,119.49350980933384,54.25498714324224,67.22126458447177,177.6700220071325,187.19432980062578,149.3333829141046,84.09486024801296,97.06113768924251,207.50989511190323,217.03420290539648
total,2025-05-28 12:00:00,177.37477487882944,118.08459760929252,120.8616899768432,233.8878597808157,236.66495214836635,155.90492523437132,92.11947103651883,103.87632945732521,206.89677729571767,215.95783142847432,195.20297790228148,131.41752370442902,143.17438212523535,246.19482996362783,255.25588409638448
total,2025-05-28 13:00:00,194.18167136157214,111.42485904689475,120.83489627842775,267.52844644471656,276.9384836762495,170.75619916969046,113.35491796013882,123.9649822774056,220.1625231320409,231.9241867769533,208.7127606731943,151.31147946364266,161.92154378090947,258.1190846355447,269.8807482804571
total,2025-05-28 14:00:00,184.13157348459774,135.64190410584297,143.63956464115873,224.62358232803675,232.6212428633525,158.79473902238942,92.49456820464681,109.18027423065911,201.7545736735676,215.18858020614306,192.29581144655137,125.99564062880869,142.68134665482097,235.25564609772945,248.68965263030498
total,2025-05-28 15:00:00,184.41952021048974,136.46200246711453,140.3644227401224,228.47461768085708,232.37703795386494,159.7013328360654,92.59874938807657,102.9468080702658,221.4471129747999,229.47170764805938,195.9302432629068,128.827659814918,139.17571849710723,257.67602340164126,265.7006180749008
total,2025-05-28 16:00:00,186.3203883248745,86.58622303644003,111.18016972271774,261.4606069270312,286.05455361330894,173.9921303088105,94.05757123181984,112.42756230123376,226.07375987138516,248.28521460671013,202.09787000717668,122.16331093018607,140.5333019996,254.17949956975139,276.3909543050763
total,2025-05-28 17:00:00,170.80244991591576,42.62026807773019,71.0593224251684,270.54557740666314,298.9846317541013,161.4523175612794,102.9441271135591,112.56868123342085,224.26969926018268,237.12680595908793,188.81376572400114,130.30557527628085,139.93012939614266,251.63114742290443,264.48825412180975
total,2025-05-28 18:00:00,174.5159390678994,101.51216129930226,105.20304772039995,243.8288304153989,247.51971683649657,164.89449758016033,98.73073734015834,111.3799537491553,226.78194198580456,243.3319285072561,189.48513466342868,123.32137442342668,135.97059083242362,251.3725790690729,267.9225655905244
total,2025-05-28 19:00:00,182.4849668061581,88.19130229842115,105.3811845817691,259.5887490305471,276.77863131389506,171.787462360959,113.83476172902147,124.75986152848887,227.7594080380602,248.6750467726096,193.14548409330206,135.19278346136443,146.11788326083186,249.11742977040322,270.03306850495267
total,2025-05-28 20:00:00,130.37893759930645,69.99118294795478,73.7701808946573,186.9876943039556,190.7666922506581,126.68426406768614,63.986667539813766,83.28879100615137,174.2453887265788,182.19629277625125,140.8428442556845,78.14524772781216,97.44737119414977,188.40396891457723,196.35487296424964
total,2025-05-28 21:00:00,100.51491933642043,59.81940372713586,72.59736443900628,128.43247423383457,141.210434945705,88.28281807881271,59.03330438304387,66.72137136944201,116.84285107493442,127.36700975389432,106.56137775964842,77.31186406387955,84.99993105027772,135.1214107557701,145.64556943473
total,2025-05-28 22:00:00,90.36350226544315,0.0,6.205608026789136,174.52139650409714,207.88953656740125,70.6205067961565,0.0,11.012006959427715,125.29910889092068,148.9583070948514,89.40113660083603,13.755318726602498,29.792636764107264,144.07973869560024,167.7389368995309
total,2025-05-28 23:00:00,80.89208207632463,41.145543134389484,49.208791656943625,112.57537249570562,120.63862101825976,61.41319259088379,29.09425192150166,35.467092421492765,84.21084486507688,90.18232808868103,80.74102116434813,48.42208049496599,54.794920994957096,103.53867343854122,109.51015666214535
total,2025-05-29 00:00:00,12.970636976994276,0.0,0.0,35.14246173081471,40.389032760419404,0.0,0.0,0.0,10.458471623264431,21.60693120127299,17.00446341195939,0.0,0.0,37.246928067317334,48.39538764532591
total,2025-05-29 01:00:00,11.264942808899868,5.327425773062949,5.765849629514707,16.76403598828503,17.202459844736786,0.0,0.0,0.0,0.0,1.4577694695192478,14.17857186726547,4.124564881898593,6.304958508095104,20.89646765100431,23.928049680430146
